epoch,train_loss,validation_loss
1,0.08715421147998986,0.024644185858557755
2,0.023219964187218108,0.022349165772747044
3,0.020200114068721763,0.018017728345104594
4,0.014532174843151951,0.011969991403594754
5,0.00937092258574768,0.008030890169671862
6,0.007091698079662155,0.00670915332794246
7,0.006356507922133553,0.006218552439768694
8,0.005593076512063677,0.005474394632563476
9,0.004940887895339108,0.004882693021422149
10,0.004649503851652887,0.004734558239261102
11,0.00442492611049676,0.004502073000176355
12,0.00416173433149809,0.004237485223218262
13,0.004002590879486005,0.004091322189073239
14,0.003904369375709442,0.0040338720539602425
15,0.003826746880797498,0.00392670747592508
16,0.00376310232478138,0.0038568880531293617
17,0.0037004686084788434,0.0038204460230919285
18,0.0036406932946645557,0.0037140916040135402
19,0.003569418385213644,0.0036630955570336765
20,0.003493634644412324,0.0035863375296883385
21,0.0033979703993348015,0.0034929051134643453
22,0.0032914349459988103,0.0033723488784760973
23,0.003236891323439787,0.0033352824334811552
24,0.00319075962345506,0.003294071687714142
25,0.003168084346236885,0.0032939478152376766
26,0.0031520416384491017,0.003257574614603956
27,0.003124749679557388,0.003241008845859506
28,0.003107485311060009,0.003237332914243726
29,0.0031007157467161815,0.003221454492874401
30,0.003078400107857619,0.0032626529867483384
31,0.0030737121384822935,0.003185945646678304
32,0.003053106673186547,0.003138280423425237
33,0.0030479358482416175,0.0031567549015584437
34,0.00303217631126322,0.0031582042176552133
35,0.0030267747008093852,0.0031880198101348735
36,0.0030131541768372845,0.0031148130097470653
37,0.0030028416566490047,0.0031336303264171282
38,0.002994619339115372,0.0030953463951242377
39,0.0029854570237849067,0.0030966167809685563
40,0.0029771549365228147,0.003142787716413302
41,0.00297919690171697,0.0030670680433327944
42,0.0029594850057650572,0.0030682804292347108
43,0.002954648398421726,0.00308044511838984
44,0.0029506800444022156,0.0030475655206579863
45,0.0029397369524423204,0.0030577285849335526
46,0.00293808340459781,0.0030534840506665846
47,0.00293228634206416,0.0030474807419575596
48,0.002926138543545101,0.003067292256715515
49,0.0029237425914088325,0.003044023882117002
50,0.0029158031561599255,0.003034070801251414
