epoch,train_loss,validation_loss,is_best
1,0.07742309827600567,0.02426141330636543,1
2,0.020998595271377277,0.016438248710993118,1
3,0.013020830253631361,0.009644184452490405,1
4,0.007249886880552978,0.0064206005682005945,1
5,0.0057481185700826495,0.005519259598608035,1
6,0.00514368036740006,0.005185829802174156,1
7,0.004699376312833829,0.004720122472116233,1
8,0.004320772374627337,0.004411091044990512,1
9,0.00416099615065067,0.004258583996593387,1
10,0.00407999881177437,0.004162031296195297,1
11,0.00401310416100309,0.004119135834085817,1
12,0.003945661948871132,0.004035296324937405,1
13,0.003848583090854324,0.003972566860818094,1
14,0.003755370516222028,0.003863718221370534,1
15,0.003685780697059355,0.00380794509358181,1
16,0.003627841287072877,0.0037247630528596705,1
17,0.003592485944188461,0.0037137403564644266,1
18,0.003570301658641826,0.0037382826378720988,0
19,0.003546999954274939,0.0036466113297689345,1
20,0.003521378774516929,0.0036174771451590974,1
21,0.0035052125241902027,0.0035972665018089243,1
22,0.0034836179557682077,0.0035867053716738605,1
23,0.003457073560369782,0.0036170773548507033,0
24,0.003438965129497568,0.0035740696131985146,1
25,0.0034059515753493267,0.0035576915524306177,1
26,0.0033875153486060475,0.003516206935726714,1
27,0.0033680902914143356,0.0034677420595070558,1
28,0.0033469349138902206,0.003453483520291279,1
29,0.003329092895131652,0.003474051124598315,0
30,0.00330069069684012,0.0033828389722380284,1
31,0.002910789295821984,0.002823850815228595,1
32,0.0026556637939850972,0.00271215289498925,1
33,0.0025842175195444576,0.0026692063739590446,1
34,0.0025436893605740017,0.00262122204765833,1
35,0.002519893313568981,0.002623478083021274,0
36,0.0024852705598284383,0.002611247791079857,1
37,0.002324018489969912,0.0022727897922301655,1
38,0.0021531629987666403,0.0022511786599758396,1
39,0.002128769205164669,0.0022388568687547825,1
40,0.0021052509729629163,0.0021860607053936095,1
41,0.0020710644188878164,0.0021592122932411802,1
42,0.002016428408064478,0.0020961753866569877,1
43,0.001972190924363281,0.002061202034347141,1
44,0.0019303111663700853,0.0020275143214079075,1
45,0.001900294802043811,0.0019892832705577872,1
